Found 30 Logs
AREAS
Wood-01  Area  21631.46
Wood-02  Area  39388.16
Wood-03  Area  15828.74
Wood-04  Area  7539.14
Wood-05  Area  50645.060000000005
Wood-06  Area  12070.16
Wood-07  Area  12070.16
Wood-08  Area  12861.44
Wood-09  Area  22686.5
Wood-10  Area  14519.36
Wood-11  Area  30156.56
Wood-12  Area  14519.36
Wood-13  Area  12070.16
Wood-14  Area  18617.06
Wood-15  Area  2461.76
Wood-16  Area  19596.74
Wood-17  Area  16733.06
Wood-18  Area  26576.960000000003
Wood-19  Area  7850.0
Wood-20  Area  9847.04
Wood-21  Area  15386.0
Wood-22  Area  7234.56
Wood-23  Area  3629.84
Wood-24  Area  8820.26
Wood-25  Area  6644.240000000001
Wood-26  Area  22155.84
Wood-27  Area  7234.56
Wood-28  Area  7539.14
Wood-29  Area  4534.16
Wood-30  Area  706.5
VOLUMES
Wood-01  Volume 216314.59999999998
Wood-02  Volume 393881.60000000003
Wood-03  Volume 158287.4
Wood-04  Volume 75391.40000000001
Wood-05  Volume 506450.60000000003
Wood-06  Volume 120701.6
Wood-07  Volume 120701.6
Wood-08  Volume 128614.40000000001
Wood-09  Volume 226865.0
Wood-10  Volume  145193.6
Wood-11  Volume  301565.60000000003
Wood-12  Volume  145193.6
Wood-13  Volume  120701.6
Wood-14  Volume  186170.6
Wood-15  Volume  24617.600000000002
Wood-16  Volume  195967.40000000002
Wood-17  Volume  167330.6
Wood-18  Volume  265769.60000000003
Wood-19  Volume  78500.0
Wood-20  Volume  98470.40000000001
Wood-21  Volume  153860.0
Wood-22  Volume  72345.6
Wood-23  Volume  36298.4
Wood-24  Volume  88202.6
Wood-25  Volume  66442.40000000001
Wood-26  Volume  221558.4
Wood-27  Volume  72345.6
Wood-28  Volume  75391.40000000001
Wood-29  Volume  45341.6
Wood-30  Volume  7065.0
Total Volume Accurate :4515539.800000001
Total Volume Approx :4515540
